country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",28-11-2025 11:00:00,24.75746,84.366208,OZONE,1,38,14
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",28-11-2025 11:00:00,25.42742023,86.13886079,NO2,17,22,19
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",28-11-2025 11:00:00,25.42742023,86.13886079,NH3,2,3,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",28-11-2025 11:00:00,25.42742023,86.13886079,SO2,4,16,6
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",28-11-2025 11:00:00,26.80365,84.51954,PM10,34,104,72
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",28-11-2025 11:00:00,25.251013,86.989001,PM2.5,17,60,43
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",28-11-2025 11:00:00,25.251013,86.989001,CO,12,18,16
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",28-11-2025 11:00:00,25.251013,86.989001,OZONE,10,26,16
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",28-11-2025 11:00:00,13.67,79.35,OZONE,11,35,24
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",28-11-2025 11:00:00,13.615387,79.40923,PM10,54,77,69
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",28-11-2025 11:00:00,13.615387,79.40923,NO2,13,18,15
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",28-11-2025 11:00:00,16.536107,80.594233,NH3,3,5,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",28-11-2025 11:00:00,16.509717,80.612222,NH3,4,8,6
